t,decode_fps,decode_ms,batch_fill_ms,batch_gap_ms,batch_size_eff,batch_timeout_hits,yolo_fps,yolo_ms,post_ms,embed_fps,embed_ms,render_fps,render_ms,upload_ms,draw_ms,q_meta,q_infer,ring_used,ring_cap
1758001355.398,62.79,15.925,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,61.94,16.145,15.777,0.0,0,0,20,64
1758001356.403,43.31,23.09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,89.45,11.179,10.736,0.0,3,0,23,64
1758001357.404,67.39,14.838,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,72.09,13.872,13.496,0.0,6,0,21,64
1758001358.405,56.28,17.769,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,76.79,13.022,12.691,0.0,8,0,30,64
1758001359.406,44.81,22.317,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,39.88,25.074,24.752,0.0,5,0,27,64
1758001360.407,47.63,20.997,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,68.9,14.514,14.094,0.0,9,0,36,64
1758001361.408,65.28,15.319,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,69.03,14.487,14.145,0.0,1,0,20,64
1758001362.409,67.68,14.775,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,83.01,12.047,11.67,0.0,12,1,24,64
1758001363.413,30.62,32.658,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,31.47,31.78,31.21,0.0,2,0,26,64
1758001364.415,48.04,20.818,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,52.3,19.122,18.739,0.0,0,0,21,64
1758001365.416,54.96,18.196,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,66.22,15.101,14.759,0.0,9,0,30,64
1758001366.432,87.9,11.377,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,86.55,11.554,11.158,0.0,1,0,29,64
1758001367.434,41.8,23.926,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,64.75,15.443,15.073,0.0,4,0,26,64
1758001368.435,91.32,10.951,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,74.98,13.337,13.042,0.0,2,0,31,64
1758001369.436,86.45,11.568,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,79.47,12.583,12.173,0.0,2,0,32,64
1758001370.437,47.44,21.08,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,78.51,12.737,12.402,0.0,7,0,31,64
1758001371.438,50.22,19.913,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,84.87,11.783,11.383,0.0,9,0,21,64
1758001372.439,65.49,15.269,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,83.03,12.044,11.762,0.0,0,0,18,64
1758001373.443,42.76,23.385,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,55.83,17.913,17.55,0.0,2,0,20,64
1758001374.444,81.81,12.223,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,72.83,13.731,13.341,0.0,10,0,22,64
1758001375.493,63.84,15.665,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,62.27,16.06,15.628,0.0,2,0,28,64
1758001376.494,55.26,18.096,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,64.03,15.617,15.279,0.0,7,0,28,64
1758001377.495,48.76,20.508,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,71.71,13.946,13.495,0.0,5,0,28,64
1758001378.496,66.88,14.953,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,61.6,16.233,15.873,0.0,1,0,17,64
1758001379.497,59.11,16.919,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,64.6,15.481,13.808,0.0,0,0,22,64
1758001380.498,56.21,17.79,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,81.1,12.33,12.001,0.0,10,0,34,64
1758001381.589,29.99,33.348,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,84.0,11.905,11.419,0.0,2,0,32,64
1758001382.59,60.52,16.524,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,51.21,19.527,19.133,0.0,12,1,26,64
1758001383.591,64.78,15.437,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,77.0,12.987,12.68,0.0,4,0,35,64
1758001384.594,74.58,13.408,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,76.21,13.121,12.837,0.0,10,0,42,64
1758001385.595,76.1,13.141,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,72.93,13.711,13.42,0.0,0,5,1,64
1758001386.596,76.1,13.141,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,72.93,13.711,13.42,0.0,0,5,1,64
